Model Name,Native,TREC DL 2019,TREC DL 2020,NanoBEIR
".. centered:: *Cross-Encoders*",,,,
"`webis/monoelectra-base <https://huggingface.co/webis/monoelectra-base>`_",|c|,0.751,0.769,-
"`webis/monoelectra-large <https://huggingface.co/webis/monoelectra-large>`_",|c|,0.750,0.791,-
"`castorini/monot5-base-msmarco <https://huggingface.co/castorini/monot5-base-msmarco>`_",|x|,0.723,0.714,-
"`castorini/monot5-large-msmarco <https://huggingface.co/castorini/monot5-large-msmarco>`_",|x|,0.720,0.728,-
"`castorini/monot5-3b-msmarco <https://huggingface.co/castorini/monot5-3b-msmarco>`_",|x|,0.726,0.752,-
"`Soyoung97/RankT5-base <https://huggingface.co/Soyoung97/RankT5-base>`_",|x|,0.734,0.745,-
"`Soyoung97/RankT5-large <https://huggingface.co/Soyoung97/RankT5-large>`_",|x|,0.737,0.759,-
"`Soyoung97/RankT5-3b <https://huggingface.co/Soyoung97/RankT5-3b>`_",|x|,0.721,0.776,-
".. centered:: *Bi-Encoders*",,,,
"`webis/bert-bi-encoder <https://huggingface.co/webis/bert-bi-encoder>`_",|c|,0.711,0.714,".. collapse:: 0.549

    .. csv-table::
       :file: ./nanobeir_details_bienc.csv
       :header-rows: 0"
"`sentence-transformers/msmarco-bert-base-dot-v5 <https://huggingface.co/sentence-transformers/msmarco-bert-base-dot-v5>`_",|x|,0.705,0.735,-
"`webis/colbert <https://huggingface.co/webis/colbert>`_",|c|,0.751,0.749,".. collapse:: 0.635

    .. csv-table::
       :file: ./nanobeir_details_colbert.csv
       :header-rows: 0"
"`colbert-ir/colbertv2.0 <https://huggingface.co/colbert-ir/colbertv2.0>`_",|x|,0.732,0.746,-
"`webis/splade <https://huggingface.co/webis/splade>`_",|c|,0.736,0.723,".. collapse:: 0.619

    .. csv-table::
       :file: ./nanobeir_details_splade.csv
       :header-rows: 0"
"`naver/splade-v3 <https://huggingface.co/naver/splade-v3>`_",|x|,0.715,0.749,-
